Test_ID,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Reference_Parameter,V_times_I,Current_sq,Voltage_sq,Current_x_Duration
TRN-0729,27.8122,59.7061,25.295,56.0876,17.8995,16.2175,22.741,53.7565,22.7879,1660.55799442,3564.81837721,773.5184688400001,3348.77185436
TRN-0307,30.2039,105.7357,25.4332,14.8461,20.5299,20.3649,25.1377,39.4088,47.2164,3193.63050923,11180.038254489999,912.27557521,1569.76277577
TRN-0091,13.8779,70.3753,33.7208,28.7584,10.7783,12.0405,12.8023,60.3125,23.2446,976.6613758699999,4952.682850089999,192.59610841,2023.88102752
TRN-0542,29.8252,29.6371,52.0927,40.8807,16.4051,14.7736,21.9869,50.5573,29.9678,883.93243492,878.35769641,889.5425550399999,1211.58539397
TRN-0937,18.9717,104.0403,31.8576,48.305,15.2581,16.7679,18.2016,48.5457,45.3832,1973.8213595099999,10824.38402409,359.92540088999993,5025.6666915
TRN-0092,22.8334,18.3011,31.7408,26.9067,12.3229,10.8597,16.5175,28.9254,17.4823,417.87633674000006,334.9302612100001,521.3641555600001,492.4222073700001
TRN-0268,31.5596,18.2128,38.845,24.4453,16.4547,13.878,22.1,70.4553,20.7222,574.78868288,331.7060838400001,996.00835216,445.21735984000003
TRN-0782,16.2048,93.1196,42.8621,12.8741,13.1151,14.8764,15.7166,32.2974,36.8118,1508.9844940799999,8671.25990416,262.59554303999994,1198.83104236
TRN-0919,22.6926,50.8001,43.6073,31.9818,14.0837,13.6443,18.1982,49.2786,21.2594,1152.78634926,2580.65016001,514.95409476,1624.67863818
TRN-0053,26.4931,101.8024,42.852,30.4912,18.56,19.2644,22.9828,68.2684,48.1264,2697.06116344,10363.72864576,701.88434761,3104.0773388800003
TRN-0408,31.1979,55.0224,21.7758,25.6304,18.3841,16.3698,23.7608,30.0802,22.1385,1716.58333296,3027.4645017599996,973.30896441,1410.24612096
TRN-0501,14.229,84.784,39.199,37.0993,11.9475,13.5096,14.4506,42.1564,30.3824,1206.391536,7188.326656000001,202.46444099999997,3145.4270512000003
TRN-0311,20.0873,84.2981,33.9545,11.1637,14.4518,15.2547,17.5092,45.2027,29.9962,1693.32122413,7106.1696636100005,403.49962128999994,941.0786989700001
TRN-0562,30.7015,55.1126,37.3272,53.9099,18.3063,16.9658,23.7367,31.425,23.8068,1692.0394889,3037.39867876,942.5821022499999,2971.11475474
TRN-0126,27.1839,35.792,32.8674,28.726,15.6886,13.7668,20.7464,46.0688,20.623,972.9661488,1281.067264,738.9644192100001,1028.160992
TRN-0676,28.9435,99.9672,33.2564,54.1579,20.242,19.9359,25.0693,38.6309,45.2288,2893.4006532000003,9993.44107584,837.72619225,5414.01362088
TRN-0360,31.1338,64.9587,39.5961,9.0647,18.6229,17.3282,24.1833,48.479,28.4009,2022.41117406,4219.632705689999,969.3135024400001,588.83112789
TRN-0367,24.0314,97.8945,45.1767,31.2893,17.3437,18.1727,21.6014,52.8876,45.131,2352.5418873,9583.33313025,577.5081859600001,3063.05037885
TRN-0405,24.6143,33.6779,42.1612,26.794,14.0177,13.065,18.7117,49.4543,20.1763,828.95793397,1134.2009484100001,605.86376449,902.3656526000001
TRN-0868,28.3339,101.6303,50.6215,7.7931,19.0319,19.8449,23.5519,54.1915,55.1412,2879.58275717,10328.717878090001,802.8098892099999,792.01509093
TRN-0020,9.4876,21.4776,37.3279,15.6388,6.1571,6.5039,8.2616,52.9346,13.5381,203.77087776,461.28730175999993,90.01455376000001,335.88389087999997
TRN-0316,22.2248,47.0868,39.5367,20.27,13.0209,12.675,16.6458,61.0745,19.7399,1046.4947126399998,2217.1667342399996,493.9417350399999,954.4494359999999
TRN-0067,30.9408,29.3598,18.0356,35.4607,16.7021,13.7519,21.9045,43.0005,19.7801,908.41569984,861.99785604,957.33310464,1041.11905986
TRN-0317,25.933,70.3816,24.6378,10.6208,16.6609,15.9391,20.9687,48.0101,24.0015,1825.2060328000002,4953.569618560001,672.520489,747.50889728
TRN-0087,17.6142,31.0902,47.58,51.1189,10.8589,10.9508,3.2181,51.1091,20.3176,547.62900084,966.60053604,310.26004164,1589.29682478
TRN-0801,11.2999,91.5588,48.8199,21.2042,10.7983,13.3691,12.9707,43.4485,39.321,1034.60528412,8383.01385744,127.68774000999998,1941.43110696
TRN-0012,30.2939,43.3171,28.5824,30.3499,17.0338,15.1496,22.2573,38.2619,21.3846,1312.24389569,1876.3711524100004,917.72037721,1314.6696532900003
TRN-0578,30.4866,60.5018,36.4074,15.0767,18.0583,16.8822,23.2278,38.5682,23.1545,1844.49417588,3660.46780324,929.43277956,912.1674880600001
TRN-0859,16.4487,20.9785,23.3935,58.5618,9.8089,8.7051,12.9031,61.0478,15.4105,345.06905294999996,440.09746225000004,270.55973169,1228.5387213
TRN-0533,17.5311,72.927,28.746,36.0802,12.6016,13.0752,16.9269,56.541,23.5153,1278.4905297,5318.347329000001,307.33946720999995,2631.2207454
TRN-0967,26.4104,30.8751,38.339,14.2777,14.5452,13.0594,19.2013,49.5647,19.7664,815.42374104,953.27180001,697.5092281599999,440.82541526999995
TRN-0788,20.1531,58.459,22.9316,43.5898,13.2875,12.8528,16.6355,61.1192,18.6948,1178.1300729,3417.454681,406.14743960999994,2548.2161182
TRN-0700,24.4753,49.2252,36.9219,22.1919,14.2996,13.6599,18.5642,60.5208,20.5104,1204.80153756,2423.12031504,599.04031009,1092.40071588
TRN-0151,25.549,19.7697,34.1753,21.4309,13.6684,11.704,18.6616,46.3824,18.466,505.0960653,390.84103809,652.751401,423.68246373000005
TRN-0236,22.9858,28.4295,35.2647,27.6778,12.9089,11.5537,17.0815,35.1347,18.4935,653.4748011,808.23647025,528.34700164,786.8660151
TRN-0130,27.9593,15.8726,33.4249,45.782,14.8659,12.4537,20.2947,51.5568,19.0968,443.78678518,251.93943076000002,781.7224564899999,726.6793732
TRN-0558,10.8607,21.0036,44.5708,31.3091,6.8793,7.0831,9.3319,47.3849,15.0884,228.11379852,441.15121295999995,117.95480448999999,657.60381276
TRN-0335,19.3366,109.2824,43.2863,42.829,15.6796,17.4192,19.0115,46.0047,53.154,2113.15005584,11942.642949759998,373.90409956,4680.4559096
TRN-0747,8.1623,16.276,27.7498,24.8249,4.8959,4.9854,6.5243,58.8781,11.9183,132.8495948,264.90817599999997,66.62314129,404.0500724
TRN-0065,29.5509,88.0838,38.0994,34.3734,19.4764,19.0039,24.1937,67.1977,37.4703,2602.95556542,7758.755822439999,873.2556908099999,3027.7396909199997
TRN-0257,30.6035,29.4846,36.2652,41.0898,16.7405,14.3861,22.2693,49.4543,21.5145,902.3319561000001,869.34163716,936.5742122500001,1211.51631708
TRN-0443,9.6318,92.6893,34.5091,30.5353,10.1782,12.5837,11.7777,64.1771,32.9683,892.7647997400001,8591.30633449,92.77157124,2830.29558229
TRN-0507,10.6681,75.8719,33.3623,5.2737,9.6188,11.4513,11.3341,67.399,23.1349,809.40901639,5756.54520961,113.80835761000002,400.12563902999995
TRN-0943,24.4524,69.9741,29.5096,22.3974,15.7061,15.1518,19.6866,30.7207,25.1708,1711.0346828400002,4896.374670810001,597.91986576,1567.2379073400002
TRN-0438,9.2579,44.797,28.7596,5.9031,6.9661,7.9532,8.5018,71.9907,13.9035,414.7261462999999,2006.7712089999998,85.70871240999999,264.4411707
TRN-0323,23.8319,94.5641,40.9548,12.1292,23.0025,17.4622,20.4693,53.8698,40.1544,2253.64217479,8942.36900881,567.9594576100001,1146.98688172
TRN-0541,29.5137,89.7528,32.8875,44.0727,19.4791,18.9202,24.4323,46.1615,36.989,2648.93721336,8055.565107839999,871.05848769,3955.6482285599996
TRN-0513,8.5988,18.8074,39.8048,25.8064,5.467,6.0593,7.4333,30.0082,13.1153,161.72107112000003,353.71829476000005,73.93936144000001,485.35128736
TRN-0830,29.6897,109.4003,33.5982,31.3241,20.6293,20.8849,25.3653,48.7288,53.7412,3248.06208691,11968.42564009,881.4782860899999,3426.8659372300003
TRN-0124,28.7059,44.4546,28.3929,31.8519,16.5947,25.0,21.7478,58.4106,20.567,1276.10930214,1976.21146116,824.0286948099999,1415.96347374
TRN-0434,18.3304,91.2825,54.8353,42.0785,14.206,15.9913,17.3458,49.4543,51.9073,1673.244738,8332.49480625,336.00356416000005,3841.03067625
TRN-0742,31.1274,41.4679,25.8498,14.7618,17.5962,15.2001,23.0903,49.2011,21.1804,1290.7879104600001,1719.58673041,968.9150307600001,612.14084622
TRN-0351,8.8242,109.9343,21.3625,17.1093,10.3528,12.9679,11.602,47.0632,43.8924,970.0822500599999,12085.550316489998,77.86650563999999,1880.89891899
TRN-0736,29.5104,28.1679,36.3961,51.5832,16.1474,13.8079,21.6011,49.2212,20.9866,831.24599616,793.4305904099999,870.86370816,1452.99041928
TRN-0518,30.191,68.5258,29.2458,38.1312,11.105,17.2072,23.2016,42.7267,26.6751,2068.8624278,4695.785265640001,911.4964809999999,2612.9709849600004
TRN-0097,24.0983,15.5749,32.5565,32.3226,12.5641,10.8077,5.4559,72.9077,17.5511,375.32861267,242.57751001,580.7280628899999,503.42126274000003
TRN-0220,12.1699,57.0484,31.2917,52.7784,9.5998,10.3563,11.9747,50.9553,17.0452,694.27332316,3254.51994256,148.10646601,3010.9232745599998
TRN-0713,11.9594,108.4812,34.5381,58.1279,12.1882,14.8651,14.0675,69.0032,47.8264,1297.37006328,11768.170753440001,143.02724836000002,6305.7843454799995
TRN-0890,27.1695,81.7422,25.519,26.4742,17.8631,17.0967,22.0936,62.1795,29.1343,2220.8947029,6681.787260839999,738.18173025,2164.05935124
TRN-0531,20.7203,99.2481,31.085,54.7814,16.2072,17.0458,19.816,39.6731,41.019,2056.45040643,9850.185353609999,429.33083209000006,5436.94986534
TRN-0369,24.5577,62.3376,30.1652,56.576,15.5392,14.881,19.6012,46.2767,24.6977,1530.86807952,3885.97637376,603.08062929,3526.8120576
TRN-0781,17.8894,74.0111,26.7258,14.7152,12.9996,13.5775,15.9195,62.4277,23.4299,1324.01417234,5477.64292321,320.03063235999997,1089.08813872
TRN-0928,25.7367,90.4034,33.5964,54.4149,17.8868,17.9832,22.3347,46.1552,36.6371,2326.68518478,8172.774731560001,662.37772689,4919.2919706600005
TRN-0194,15.343,109.4771,33.6951,57.5039,14.2222,16.389,16.6468,72.3277,50.4105,1679.7071452999999,11985.235424409999,235.407649,6295.36021069
TRN-0743,16.6379,22.9675,37.3504,24.5539,9.2704,8.9039,12.3042,61.3833,15.879,382.13096824999997,527.50605625,276.81971640999996,563.94169825
TRN-0294,31.8012,33.9683,33.232,36.4063,17.3683,15.0914,22.6319,49.1939,21.8126,1080.23270196,1153.84540489,1011.3163214400001,1236.6601202900001
TRN-0304,23.6657,17.7618,19.2181,49.6166,12.9498,16.1247,17.0497,54.4657,17.0368,420.34543026000006,315.48153924,560.06535649,881.28012588
TRN-0382,14.1328,104.1859,27.4694,17.0621,12.7062,14.6844,14.7467,55.5636,41.6252,1472.43848752,10854.70175881,199.73603584,1777.6302443900001
TRN-0417,26.973,68.6493,28.7009,27.9014,17.2997,16.4962,21.6952,57.9395,25.9572,1851.6775688999999,4712.726390489999,727.5427289999999,1915.4115790199999
TRN-0297,26.5298,89.9603,18.0,53.9437,18.1662,17.589,22.426,33.5126,31.7561,2386.6287669400003,8092.855576090001,703.8302880400001,4852.79143511
TRN-0622,21.0295,23.2536,34.0265,49.4829,5.4912,11.0359,16.266,51.2347,17.9097,489.01158119999997,540.72991296,442.23987024999997,1150.65556344
TRN-0563,16.5004,76.4705,23.6697,55.7837,12.9151,13.4514,15.6811,38.7838,23.4619,1261.7938382,5847.73737025,272.26320016,4265.80743085
TRN-0920,28.0007,43.5856,29.5635,31.3067,16.4039,14.665,21.3004,49.4543,20.6462,1220.42730992,1899.70452736,784.0392004899999,1364.52130352
TRN-0568,17.0624,18.7827,25.3896,23.4091,9.6033,8.647,12.7841,69.2815,14.8344,320.47794048,352.7898192899999,291.12549376,439.68610256999995
TRN-0227,10.4857,104.8969,33.4685,24.2937,10.7743,13.447,12.3912,44.9239,42.3603,1099.91742433,11003.35962961,109.94990449,2548.3338195300003
TRN-0581,31.4401,34.7442,44.4525,37.6516,17.718,15.566,23.4067,53.4032,23.1496,1092.36112242,1207.1594336399999,988.4798880100001,1308.17472072
TRN-0320,26.2045,71.2287,39.427,5.5082,16.4818,16.3147,20.7495,74.076,28.4389,1866.51246915,5073.527703690001,686.67582025,392.34192534000005
TRN-0167,9.1955,28.8878,39.9113,21.6789,6.0801,0.0631,7.9135,42.5394,14.3812,265.6377649,834.5049888399999,84.55722024999999,626.25572742
TRN-0450,12.2914,80.6737,25.0689,28.09,10.7961,12.1847,12.857,26.3365,23.8166,991.5927161799999,6508.245871689999,151.07851395999998,2266.124233
TRN-0287,24.9197,109.5992,39.1933,44.5793,18.6125,19.6007,22.8927,62.0009,54.3793,2731.17918424,12011.98464064,620.99144809,4885.85561656
TRN-0650,9.3389,69.1289,34.8242,7.8153,8.6751,10.3544,10.3503,43.2764,21.5834,645.5878842100001,4778.80481521,87.21505321000001,540.2630921699999
TRN-0901,24.5837,32.3434,44.0985,18.3583,13.6707,12.6833,18.0113,56.004,20.0391,795.12044258,1046.0955235600002,604.3583056900001,593.76984022
TRN-0031,31.5827,42.3262,21.2104,46.5375,18.086,15.3435,23.7902,63.3815,21.3218,1336.7756767399999,1791.50720644,997.4669392899999,1969.7555325
TRN-0199,20.0134,74.4171,30.5929,34.5742,14.1476,14.6017,17.3784,29.7774,25.6966,1489.3391891400001,5537.904772410001,400.53617956000005,2572.91169882
TRN-0630,24.2394,42.3827,37.0505,29.3917,14.3383,13.4411,18.6192,44.5871,20.1279,1027.3312183799999,1796.29325929,587.54851236,1245.69960359
TRN-0605,13.0001,85.6198,45.944,9.1593,11.1971,13.4391,13.1292,44.0425,32.9308,1113.0659619799999,7330.750152039999,169.00260000999998,784.21743414
TRN-0704,24.0661,67.4291,32.3245,15.834,15.4074,15.0642,30.0999,60.9044,25.2527,1622.75546351,4546.68352681,579.17716921,1067.6723694
TRN-0614,20.2532,103.5468,45.9658,19.1421,15.4626,17.1631,18.7869,44.9124,48.5665,2097.15404976,10721.939790240001,410.19211024,1982.10320028
TRN-0315,17.4271,55.0366,20.4553,35.888,11.7702,11.6673,14.6101,43.8198,17.1108,959.12833186,3029.02733956,303.70381440999995,1975.1535007999998
TRN-0018,9.606,80.1658,36.9003,58.9581,7.4058,5.6122,11.8582,50.8925,26.5112,770.0726748000001,6426.555489640001,92.27523599999999,4726.42325298
TRN-0669,19.456,70.6109,26.7711,19.4439,13.949,13.9951,17.503,32.6376,22.7601,1373.8056704,4985.89919881,378.535936,1372.95127851
TRN-0168,15.3642,103.1518,32.9891,37.3924,13.7518,15.742,16.2821,60.6418,43.7129,1584.84488556,10640.293843239999,236.05864164000002,3857.09336632
TRN-0397,12.6677,60.0778,26.2891,30.817,10.0417,10.7811,12.4172,51.166,16.9303,761.04754706,3609.3420528400006,160.47062329,1851.4175626
TRN-0324,18.6204,80.1765,35.0088,24.0491,13.5275,14.4397,16.6685,49.4543,28.5561,1492.9185006,6428.27115225,346.71929616,1928.17266615
TRN-0154,15.6191,87.307,31.2849,31.8206,12.6735,13.9206,15.2714,60.0861,24.836,1363.6567637,7622.512249,243.95628481,2778.1611242
TRN-0666,8.1382,65.7363,39.0356,11.4716,7.6017,9.7427,9.234,32.6448,21.455,534.9751566599999,4321.26113769,66.23029924,754.10053908
TRN-0826,28.4712,27.8256,35.3796,21.3808,15.2771,13.2259,19.943,48.6539,20.0595,792.2282227200001,774.26401536,810.6092294399999,594.93358848
TRN-0131,18.5812,92.627,32.678,29.3111,14.2849,15.4514,17.3894,51.1103,34.9359,1721.1208123999997,8579.761128999999,345.26099344,2714.9992597
TRN-0206,15.64,43.7312,36.5787,24.7762,10.3069,10.4717,13.1759,67.9744,17.0176,683.9559680000001,1912.41785344,244.60960000000003,1083.49295744
TRN-0641,24.5801,94.9394,27.697,34.8704,17.3518,17.6709,21.5468,56.5225,37.4487,2333.6199459400004,9013.489672360001,604.18131601,3310.5748537599998
TRN-0478,22.1023,75.3986,39.5437,15.7804,15.0451,15.3171,18.7467,40.8439,29.3263,1666.48247678,5684.94888196,488.51166529,1189.82006744
TRN-0026,23.3843,84.4197,26.1531,13.7255,16.0969,15.9865,19.9008,42.4546,28.9849,1974.0955907100001,7126.685748090001,546.82548649,1158.70259235
TRN-0363,12.5154,100.0179,26.6011,17.9126,11.5718,13.6642,13.2085,54.963,36.6662,1251.76402566,10003.58032041,156.63523716,1791.58063554
TRN-0430,20.7575,53.4003,34.8645,24.8433,12.9698,12.7579,16.7595,48.1514,19.0719,1108.45672725,2851.59204009,430.87380625000003,1326.63967299
TRN-0936,10.8932,25.4503,34.2131,51.1712,7.0372,7.1364,9.181,62.3112,14.5568,277.23520795999997,647.7177700899999,118.66180624,1302.32239136
TRN-0129,21.1678,103.3248,40.2966,38.4533,16.1599,17.4796,19.4539,49.4543,47.0142,2187.1587014399997,10676.014295039999,448.07575684,3973.1795318399995
TRN-0688,20.0467,29.4538,26.8279,33.6621,11.6891,10.7337,15.4426,54.0091,16.7953,590.45149246,867.52633444,401.87018089000003,991.4767609800001
TRN-0157,22.4119,20.8205,26.7832,21.6598,11.8651,10.3674,15.741,52.7544,16.6935,466.62696394999995,433.49322025,502.29326160999994,450.9678659
TRN-0422,29.5699,19.6229,39.3521,44.9731,15.9528,13.5415,21.3873,41.892,20.6111,580.24719071,385.05820441000003,874.3789860100001,882.5026439900001
TRN-0561,21.2552,28.753,28.5431,55.9749,14.8131,15.3306,16.1621,58.7379,17.9232,611.1507656,826.735009,451.7835270399999,1609.4462997
TRN-0281,20.3633,63.1516,37.9498,43.269,14.0488,13.9778,17.9825,33.7963,25.6006,1285.97497628,3988.1245825600004,414.66398688999993,2732.5065804
TRN-0108,18.4548,83.0207,37.7378,7.6421,13.5164,7.7951,16.5216,45.0359,30.0347,1532.13041436,6892.436628490001,340.57964303999995,634.45249147
TRN-0332,19.9914,90.3498,42.0529,54.2919,15.1578,16.3139,18.691,51.4997,37.3545,1806.2189917199998,8163.086360040001,399.65607395999996,4905.26230662
TRN-0185,13.0874,48.0294,42.0912,28.1127,9.6031,10.4584,12.469,52.8484,46.1158,628.5799695600001,2306.8232643600004,171.28003876000002,1350.23611338
TRN-0746,11.5123,78.7144,35.2434,11.023,9.9073,11.8385,11.9057,50.1068,25.1387,906.1837871199999,6195.9567673599995,132.53305129,867.6688312
TRN-0656,12.9859,56.5878,41.075,23.6554,9.7232,10.5824,12.1611,23.4386,17.7576,734.84351202,3202.17910884,168.63359881000002,1338.60704412
TRN-0270,18.3775,49.9777,28.7527,20.261,11.6306,11.4468,14.7626,43.6153,17.1733,918.46518175,2497.77049729,337.73250625000003,1012.5981797
TRN-0462,9.376,27.3945,36.0394,38.8804,6.3963,7.0118,8.4734,42.8012,14.3644,256.85083199999997,750.45863025,87.909376,1065.1091178000001
TRN-0245,12.2692,79.2162,37.8168,33.9754,10.6367,12.3656,12.7798,33.0432,26.8149,971.91940104,6275.20634244,150.53326864,2691.40208148
TRN-0986,16.4933,30.86,41.2013,54.7611,10.5093,10.1223,13.7721,54.7129,17.9657,508.98323800000003,952.3396,272.02894489000005,1689.927546
TRN-0905,20.6906,44.6437,44.5003,38.915,12.5439,12.4742,16.1979,53.5546,20.3892,923.70493922,1993.0599496900002,428.10092836,1737.3095855000001
TRN-0355,12.6951,77.0043,34.7021,7.1159,10.4104,11.9463,12.3935,66.5491,24.5341,977.57728893,5929.66221849,161.16556401,547.95489837
TRN-0684,28.7954,59.5556,32.8725,33.6192,17.5358,16.2295,22.6425,49.5823,22.6681,1714.92732424,3546.8694913599998,829.17506116,2002.2116275199999
TRN-0433,14.1649,48.5547,35.8988,14.1726,9.8755,10.08,12.6932,52.2889,17.3311,687.7724700299999,2357.5588920899995,200.64439201,688.14634122
TRN-0205,11.8979,97.544,25.2669,56.4937,11.918,13.5932,14.1341,49.7389,35.013,1160.5687576,9514.831935999999,141.56002441,5510.6214727999995
TRN-0806,25.4865,99.3398,44.008,55.3353,18.2879,18.9374,22.9072,48.9598,46.4182,2531.8238127,9868.39586404,649.56168225,5496.997634939999
TRN-0177,8.8071,96.5473,34.9594,44.9813,10.2865,12.7489,11.7695,36.0828,36.0541,850.3017258300001,9321.381137290002,77.56501041,4342.82306549
TRN-0744,28.2125,108.5078,19.6145,8.0209,19.8403,20.0427,24.2394,52.7439,48.0361,3061.2763075,11773.94266084,795.94515625,870.33021302
TRN-0295,28.491,65.9864,38.1329,46.6129,18.1348,17.2158,23.268,39.7368,29.2011,1880.0185224000002,4354.204984960001,811.737081,3075.81746456
TRN-0948,27.7984,49.1388,26.1832,34.6076,16.6847,14.9078,21.5841,60.4037,21.0112,1365.9800179200001,2414.6216654400005,772.7510425600001,1700.57593488
TRN-0844,21.372,93.2079,34.9139,44.387,15.903,16.6672,19.6773,49.3534,37.785,1992.0392387999998,8687.71262241,456.762384,4137.2190573
TRN-0035,21.0816,84.4086,44.5723,45.0304,15.2472,16.1899,18.847,46.072,34.834,1779.4683417600004,7124.811753960002,444.4338585600001,3800.95302144
TRN-0971,10.7856,47.0839,39.4542,52.5867,8.5482,9.3426,10.8938,58.0583,16.9186,507.82811184,2216.89363921,116.32916736000001,2475.98692413
TRN-0455,25.6612,102.5107,36.9688,45.8239,18.5978,19.1275,22.9467,48.6426,46.962,2630.54757484,10508.44361449,658.4971854400001,4697.44006573
TRN-0792,14.0843,67.8778,45.1334,50.613,11.2984,12.3105,14.1442,31.1149,26.6744,956.01129854,4607.395732839999,198.36750649,3435.4990913999995
TRN-0662,8.1213,69.3968,29.281,41.901,8.2046,10.0533,9.4808,46.976,19.9671,563.59223184,4815.91585024,65.95551368999999,2907.7953168000004
TRN-0266,15.9753,99.6298,30.1634,13.0101,13.3042,14.9661,15.6586,44.586,38.6543,1591.61594394,9926.097048040001,255.21021009000003,1296.19366098
TRN-0326,30.0836,84.8342,42.2461,45.3787,19.8302,19.4816,24.9872,63.2539,37.3695,2552.11813912,7196.841489639999,905.02298896,3849.66571154
TRN-0173,8.8793,48.0957,34.4588,23.3188,7.1496,8.3093,8.9484,47.6605,15.0183,427.05614901,2313.19635849,78.84196849000001,1121.53400916
TRN-0473,21.7807,79.7624,44.4431,34.0606,15.1516,16.0863,18.7589,49.0243,32.4963,1737.28090568,6362.04045376,474.39889249,2716.75520144
TRN-0759,14.1698,79.0463,27.4585,28.9708,11.6621,12.8104,14.0205,55.029,24.5945,1120.07026174,6248.31754369,200.78323204,2290.03454804
TRN-0090,25.4547,40.4219,23.6058,25.1758,14.7793,13.0121,19.0257,45.9565,18.5905,1028.92733793,1633.92999961,647.9417520899999,1017.6536700199999
TRN-0346,13.4272,55.4707,35.9373,17.5331,9.7561,10.4939,12.1206,55.9888,17.4079,744.8161830399999,3076.99855849,180.28969983999997,972.5733301700001
TRN-0250,19.19,70.3763,45.3644,54.5215,13.7609,14.6353,17.4645,53.9176,29.2459,1350.521197,4952.82360169,368.25610000000006,3837.0214404500002
TRN-0585,19.7951,57.3239,36.9512,42.1921,13.0019,13.2516,16.721,24.2143,20.122,1134.7323328900002,3286.0295112100002,391.84598401000005,2418.6157211900004
TRN-0057,30.1846,57.0555,30.0486,29.5513,18.1997,16.6974,23.4507,84.119,22.705,1722.1974453,3255.3300802500003,911.11007716,1686.0641971500002
TRN-0187,31.0442,84.7434,25.919,22.4294,19.9745,19.1135,25.0038,51.3905,32.1574,2630.79105828,7181.443843559999,963.74235364,1900.74361596
TRN-0557,15.5447,29.2815,39.9119,30.1967,0.1218,9.5419,12.5008,57.9382,16.9847,455.17213305,857.4062422500001,241.63769809000001,884.20467105
TRN-0098,21.2152,65.8614,33.6448,35.9575,14.2849,14.3922,18.1252,58.3774,24.619,1397.26277328,4337.72400996,450.08471104,2368.2112905000004
TRN-0734,30.9058,62.5443,43.9515,46.107,18.7959,17.6931,16.8485,56.4007,30.8448,1932.9816269399998,3911.78946249,955.16847364,2883.7300400999998
TRN-0718,11.7229,106.4226,33.7749,44.7718,11.9335,13.57855,13.9352,52.3137,45.356,1247.5814975399999,11325.769790760001,137.42638440999997,4764.73136268
TRN-0389,14.6259,73.7701,26.7014,45.617,11.3153,12.2835,13.6233,67.4187,22.432,1078.95410559,5442.02765401,213.91695081,3365.1706517
TRN-0680,20.7467,66.0727,27.8669,12.5571,13.8576,13.7229,16.9478,56.1486,22.4213,1370.79048509,4365.601685289999,430.42556089000004,829.6815011699999
TRN-0709,29.2852,102.7158,48.2417,54.5325,20.3658,20.6792,25.271,68.8564,54.4227,3008.05274616,10550.53556964,857.62293904,5601.3493634999995
TRN-0406,25.1233,40.9434,43.4653,22.5027,22.7285,13.9656,19.5208,49.8444,21.013,1028.63332122,1676.3620035599997,631.18020289,921.33704718
TRN-0496,13.5539,39.9312,20.6458,47.9961,8.8443,8.5335,10.9148,48.4001,15.0114,541.2234916799999,1594.5007334399997,183.70820521000002,1916.5418683199998
TRN-0500,18.4778,63.4249,40.0174,37.7434,12.4168,13.2615,15.4617,34.8244,25.4269,1171.9526172199999,4022.71794001,341.42909283999995,2393.87137066
