Test_ID,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Validity_Label,S1_minus_S2,S1_minus_S3,S2_minus_S3
TRN-0092,22.8334,18.3011,31.7408,26.9067,12.3229,10.8597,16.5175,28.9254,Valid,1.4632000000000005,-4.194599999999998,-5.657799999999998
TRN-0268,31.5596,18.2128,38.845,24.4453,16.4547,13.878,22.1,70.4553,Valid,2.576699999999999,-5.645300000000002,-8.222000000000001
TRN-0782,16.2048,93.1196,42.8621,12.8741,13.1151,14.8764,15.7166,32.2974,Valid,-1.7613000000000003,-2.6014999999999997,-0.8401999999999994
TRN-0919,22.6926,50.8001,43.6073,31.9818,14.0837,13.6443,18.1982,49.2786,Valid,0.4394000000000009,-4.1145,-4.5539000000000005
TRN-0053,26.4931,101.8024,42.852,30.4912,18.56,19.2644,22.9828,68.2684,Valid,-0.7043999999999997,-4.422800000000002,-3.7184000000000026
TRN-0408,31.1979,55.0224,21.7758,25.6304,18.3841,16.3698,23.7608,30.0802,Valid,2.0142999999999986,-5.3767,-7.390999999999998
TRN-0501,14.229,84.784,39.199,37.0993,11.9475,13.5096,14.4506,42.1564,Valid,-1.562100000000001,-2.5031,-0.940999999999999
TRN-0311,20.0873,84.2981,33.9545,11.1637,14.4518,15.2547,17.5092,45.2027,Valid,-0.8028999999999993,-3.0573999999999995,-2.2545
TRN-0562,30.7015,55.1126,37.3272,53.9099,18.3063,16.9658,23.7367,31.425,Valid,1.3404999999999987,-5.430399999999999,-6.7708999999999975
TRN-0126,27.1839,35.792,32.8674,28.726,15.6886,13.7668,20.7464,46.0688,Valid,1.9217999999999993,-5.057800000000002,-6.979600000000001
TRN-0676,28.9435,99.9672,33.2564,54.1579,20.242,19.9359,25.0693,38.6309,Valid,0.3061000000000007,-4.8272999999999975,-5.133399999999998
TRN-0360,31.1338,64.9587,39.5961,9.0647,18.6229,17.3282,24.1833,48.479,Valid,1.2947000000000024,-5.560399999999998,-6.8551
TRN-0367,24.0314,97.8945,45.1767,31.2893,17.3437,18.1727,21.6014,52.8876,Valid,-0.8290000000000006,-4.257700000000003,-3.4287000000000027
TRN-0405,24.6143,33.6779,42.1612,26.794,14.0177,13.065,18.7117,49.4543,Valid,0.9527000000000001,-4.694000000000001,-5.646700000000001
TRN-0868,28.3339,101.6303,50.6215,7.7931,19.0319,19.8449,23.5519,54.1915,Valid,-0.8129999999999988,-4.52,-3.7070000000000007
TRN-0020,9.4876,21.4776,37.3279,15.6388,6.1571,6.5039,8.2616,52.9346,Valid,-0.3468,-2.1045,-1.7576999999999998
TRN-0316,22.2248,47.0868,39.5367,20.27,13.0209,12.675,16.6458,61.0745,Valid,0.34589999999999854,-3.624900000000002,-3.9708000000000006
TRN-0067,30.9408,29.3598,18.0356,35.4607,16.7021,13.7519,21.9045,43.0005,Valid,2.9502000000000024,-5.202399999999997,-8.1526
TRN-0317,25.933,70.3816,24.6378,10.6208,16.6609,15.9391,20.9687,48.0101,Valid,0.7218000000000018,-4.307799999999997,-5.0295999999999985
TRN-0087,17.6142,31.0902,47.58,51.1189,10.8589,10.9508,3.2181,51.1091,Invalid,-0.09189999999999898,7.6408000000000005,7.7326999999999995
TRN-0801,11.2999,91.5588,48.8199,21.2042,10.7983,13.3691,12.9707,43.4485,Valid,-2.5708,-2.1724000000000014,0.39839999999999876
TRN-0012,30.2939,43.3171,28.5824,30.3499,17.0338,15.1496,22.2573,38.2619,Valid,1.8841999999999999,-5.223500000000001,-7.107700000000001
TRN-0578,30.4866,60.5018,36.4074,15.0767,18.0583,16.8822,23.2278,38.5682,Valid,1.1760999999999981,-5.169499999999999,-6.3455999999999975
TRN-0859,16.4487,20.9785,23.3935,58.5618,9.8089,8.7051,12.9031,61.0478,Valid,1.1037999999999997,-3.0942000000000007,-4.198
TRN-0533,17.5311,72.927,28.746,36.0802,12.6016,13.0752,16.9269,56.541,Invalid,-0.47360000000000113,-4.3253,-3.8516999999999992
TRN-0967,26.4104,30.8751,38.339,14.2777,14.5452,13.0594,19.2013,49.5647,Valid,1.4857999999999993,-4.6561,-6.1419
TRN-0788,20.1531,58.459,22.9316,43.5898,13.2875,12.8528,16.6355,61.1192,Valid,0.4346999999999994,-3.3480000000000008,-3.7827
TRN-0700,24.4753,49.2252,36.9219,22.1919,14.2996,13.6599,18.5642,60.5208,Valid,0.6396999999999995,-4.2646,-4.904299999999999
TRN-0151,25.549,19.7697,34.1753,21.4309,13.6684,11.704,18.6616,46.3824,Valid,1.9643999999999995,-4.9932,-6.957599999999999
TRN-0236,22.9858,28.4295,35.2647,27.6778,12.9089,11.5537,17.0815,35.1347,Valid,1.3552,-4.172599999999999,-5.527799999999999
TRN-0130,27.9593,15.8726,33.4249,45.782,14.8659,12.4537,20.2947,51.5568,Valid,2.4122000000000003,-5.428799999999999,-7.840999999999999
TRN-0558,10.8607,21.0036,44.5708,31.3091,6.8793,7.0831,9.3319,47.3849,Valid,-0.2038000000000002,-2.4525999999999994,-2.2487999999999992
TRN-0335,19.3366,109.2824,43.2863,42.829,15.6796,17.4192,19.0115,46.0047,Valid,-1.7395999999999994,-3.331900000000001,-1.5923000000000016
TRN-0747,8.1623,16.276,27.7498,24.8249,4.8959,4.9854,6.5243,58.8781,Valid,-0.08950000000000014,-1.6284,-1.5389
TRN-0065,29.5509,88.0838,38.0994,34.3734,19.4764,19.0039,24.1937,67.1977,Valid,0.47250000000000014,-4.717299999999998,-5.189799999999998
TRN-0257,30.6035,29.4846,36.2652,41.0898,16.7405,14.3861,22.2693,49.4543,Valid,2.3544,-5.5288,-7.8832
TRN-0443,9.6318,92.6893,34.5091,30.5353,10.1782,12.5837,11.7777,64.1771,Valid,-2.4055,-1.599499999999999,0.8060000000000009
TRN-0507,10.6681,75.8719,33.3623,5.2737,9.6188,11.4513,11.3341,67.399,Valid,-1.8324999999999996,-1.7152999999999992,0.11720000000000041
TRN-0943,24.4524,69.9741,29.5096,22.3974,15.7061,15.1518,19.6866,30.7207,Valid,0.5542999999999996,-3.9804999999999993,-4.534799999999999
TRN-0438,9.2579,44.797,28.7596,5.9031,6.9661,7.9532,8.5018,71.9907,Valid,-0.9870999999999999,-1.5356999999999994,-0.5485999999999995
TRN-0323,23.8319,94.5641,40.9548,12.1292,23.0025,17.4622,20.4693,53.8698,Invalid,5.540300000000002,2.533200000000001,-3.007100000000001
TRN-0541,29.5137,89.7528,32.8875,44.0727,19.4791,18.9202,24.4323,46.1615,Valid,0.5588999999999977,-4.9532000000000025,-5.5121
TRN-0513,8.5988,18.8074,39.8048,25.8064,5.467,6.0593,7.4333,30.0082,Valid,-0.5923000000000007,-1.9663000000000004,-1.3739999999999997
TRN-0830,29.6897,109.4003,33.5982,31.3241,20.6293,20.8849,25.3653,48.7288,Valid,-0.2555999999999976,-4.736000000000001,-4.480400000000003
TRN-0124,28.7059,44.4546,28.3929,31.8519,16.5947,25.0,21.7478,58.4106,Invalid,-8.4053,-5.153100000000002,3.2521999999999984
TRN-0434,18.3304,91.2825,54.8353,42.0785,14.206,15.9913,17.3458,49.4543,Valid,-1.7853000000000012,-3.139800000000001,-1.3544999999999998
TRN-0742,31.1274,41.4679,25.8498,14.7618,17.5962,15.2001,23.0903,49.2011,Valid,2.396099999999999,-5.4940999999999995,-7.890199999999998
TRN-0351,8.8242,109.9343,21.3625,17.1093,10.3528,12.9679,11.602,47.0632,Valid,-2.6151,-1.2492,1.3659
TRN-0736,29.5104,28.1679,36.3961,51.5832,16.1474,13.8079,21.6011,49.2212,Valid,2.339500000000001,-5.453699999999998,-7.793199999999999
TRN-0518,30.191,68.5258,29.2458,38.1312,11.105,17.2072,23.2016,42.7267,Invalid,-6.1022,-12.096599999999999,-5.994399999999999
TRN-0097,24.0983,15.5749,32.5565,32.3226,12.5641,10.8077,5.4559,72.9077,Invalid,1.7563999999999993,7.1082,5.351800000000001
TRN-0220,12.1699,57.0484,31.2917,52.7784,9.5998,10.3563,11.9747,50.9553,Valid,-0.7564999999999991,-2.3749000000000002,-1.6184000000000012
TRN-0713,11.9594,108.4812,34.5381,58.1279,12.1882,14.8651,14.0675,69.0032,Valid,-2.6769,-1.8793000000000006,0.7975999999999992
TRN-0890,27.1695,81.7422,25.519,26.4742,17.8631,17.0967,22.0936,62.1795,Valid,0.7664000000000009,-4.230499999999999,-4.9969
TRN-0531,20.7203,99.2481,31.085,54.7814,16.2072,17.0458,19.816,39.6731,Valid,-0.8385999999999996,-3.6087999999999987,-2.770199999999999
TRN-0369,24.5577,62.3376,30.1652,56.576,15.5392,14.881,19.6012,46.2767,Valid,0.658199999999999,-4.061999999999999,-4.720199999999998
TRN-0781,17.8894,74.0111,26.7258,14.7152,12.9996,13.5775,15.9195,62.4277,Valid,-0.5779000000000014,-2.9199,-2.3419999999999987
TRN-0928,25.7367,90.4034,33.5964,54.4149,17.8868,17.9832,22.3347,46.1552,Valid,-0.09639999999999915,-4.447900000000001,-4.3515000000000015
TRN-0194,15.343,109.4771,33.6951,57.5039,14.2222,16.389,16.6468,72.3277,Valid,-2.1667999999999985,-2.424599999999998,-0.2577999999999996
TRN-0743,16.6379,22.9675,37.3504,24.5539,9.2704,8.9039,12.3042,61.3833,Invalid,0.36650000000000027,-3.0337999999999994,-3.4002999999999997
TRN-0294,31.8012,33.9683,33.232,36.4063,17.3683,15.0914,22.6319,49.1939,Valid,2.2769000000000013,-5.2636,-7.5405000000000015
TRN-0304,23.6657,17.7618,19.2181,49.6166,12.9498,16.1247,17.0497,54.4657,Invalid,-3.174900000000001,-4.099900000000002,-0.9250000000000007
TRN-0382,14.1328,104.1859,27.4694,17.0621,12.7062,14.6844,14.7467,55.5636,Valid,-1.9781999999999993,-2.0404999999999998,-0.062300000000000466
TRN-0417,26.973,68.6493,28.7009,27.9014,17.2997,16.4962,21.6952,57.9395,Valid,0.8034999999999997,-4.395499999999998,-5.198999999999998
TRN-0297,26.5298,89.9603,18.0,53.9437,18.1662,17.589,22.426,33.5126,Valid,0.5772000000000013,-4.2597999999999985,-4.837
TRN-0622,21.0295,23.2536,34.0265,49.4829,5.4912,11.0359,16.266,51.2347,Invalid,-5.5447,-10.774799999999999,-5.230099999999998
TRN-0563,16.5004,76.4705,23.6697,55.7837,12.9151,13.4514,15.6811,38.7838,Valid,-0.5362999999999989,-2.766,-2.229700000000001
TRN-0920,28.0007,43.5856,29.5635,31.3067,16.4039,14.665,21.3004,49.4543,Valid,1.738900000000001,-4.8965,-6.635400000000001
TRN-0568,17.0624,18.7827,25.3896,23.4091,9.6033,8.647,12.7841,69.2815,Valid,0.9563000000000006,-3.1807999999999996,-4.1371
TRN-0227,10.4857,104.8969,33.4685,24.2937,10.7743,13.447,12.3912,44.9239,Valid,-2.672699999999999,-1.6168999999999993,1.0557999999999996
TRN-0581,31.4401,34.7442,44.4525,37.6516,17.718,15.566,23.4067,53.4032,Valid,2.1519999999999992,-5.688700000000001,-7.8407
TRN-0320,26.2045,71.2287,39.427,5.5082,16.4818,16.3147,20.7495,74.076,Valid,0.16710000000000136,-4.267700000000001,-4.434800000000003
TRN-0167,9.1955,28.8878,39.9113,21.6789,6.0801,0.0631,7.9135,42.5394,Invalid,6.0169999999999995,-1.8334000000000001,-7.8504
TRN-0450,12.2914,80.6737,25.0689,28.09,10.7961,12.1847,12.857,26.3365,Valid,-1.3886000000000003,-2.0609,-0.6722999999999999
TRN-0287,24.9197,109.5992,39.1933,44.5793,18.6125,19.6007,22.8927,62.0009,Valid,-0.9881999999999991,-4.280200000000001,-3.2920000000000016
TRN-0650,9.3389,69.1289,34.8242,7.8153,8.6751,10.3544,10.3503,43.2764,Valid,-1.6792999999999996,-1.6752000000000002,0.004099999999999326
TRN-0901,24.5837,32.3434,44.0985,18.3583,13.6707,12.6833,18.0113,56.004,Valid,0.9874000000000009,-4.3405999999999985,-5.327999999999999
TRN-0031,31.5827,42.3262,21.2104,46.5375,18.086,15.3435,23.7902,63.3815,Valid,2.742499999999998,-5.7042,-8.446699999999998
TRN-0199,20.0134,74.4171,30.5929,34.5742,14.1476,14.6017,17.3784,29.7774,Valid,-0.4540999999999986,-3.2307999999999986,-2.7767
TRN-0630,24.2394,42.3827,37.0505,29.3917,14.3383,13.4411,18.6192,44.5871,Valid,0.8971999999999998,-4.280899999999999,-5.178099999999999
TRN-0605,13.0001,85.6198,45.944,9.1593,11.1971,13.4391,13.1292,44.0425,Valid,-2.241999999999999,-1.9321000000000002,0.30989999999999895
TRN-0704,24.0661,67.4291,32.3245,15.834,15.4074,15.0642,30.0999,60.9044,Invalid,0.3432000000000013,-14.6925,-15.035700000000002
TRN-0614,20.2532,103.5468,45.9658,19.1421,15.4626,17.1631,18.7869,44.9124,Valid,-1.7005,-3.324299999999999,-1.6237999999999992
TRN-0315,17.4271,55.0366,20.4553,35.888,11.7702,11.6673,14.6101,43.8198,Valid,0.10290000000000177,-2.8398999999999983,-2.9428
TRN-0018,9.606,80.1658,36.9003,58.9581,7.4058,5.6122,11.8582,50.8925,Invalid,1.7936000000000005,-4.4524,-6.246
TRN-0669,19.456,70.6109,26.7711,19.4439,13.949,13.9951,17.503,32.6376,Valid,-0.04610000000000092,-3.5540000000000003,-3.5078999999999994
TRN-0168,15.3642,103.1518,32.9891,37.3924,13.7518,15.742,16.2821,60.6418,Invalid,-1.9902000000000015,-2.5303000000000004,-0.5400999999999989
TRN-0397,12.6677,60.0778,26.2891,30.817,10.0417,10.7811,12.4172,51.166,Valid,-0.7393999999999998,-2.375499999999999,-1.636099999999999
TRN-0324,18.6204,80.1765,35.0088,24.0491,13.5275,14.4397,16.6685,49.4543,Valid,-0.9122000000000003,-3.141000000000002,-2.2288000000000014
TRN-0154,15.6191,87.307,31.2849,31.8206,12.6735,13.9206,15.2714,60.0861,Invalid,-1.2470999999999997,-2.597899999999999,-1.3507999999999996
TRN-0666,8.1382,65.7363,39.0356,11.4716,7.6017,9.7427,9.234,32.6448,Valid,-2.140999999999999,-1.6322999999999999,0.5086999999999993
TRN-0826,28.4712,27.8256,35.3796,21.3808,15.2771,13.2259,19.943,48.6539,Valid,2.0512000000000015,-4.665900000000001,-6.717100000000002
TRN-0131,18.5812,92.627,32.678,29.3111,14.2849,15.4514,17.3894,51.1103,Valid,-1.1664999999999992,-3.104499999999998,-1.9379999999999988
TRN-0206,15.64,43.7312,36.5787,24.7762,10.3069,10.4717,13.1759,67.9744,Valid,-0.1647999999999996,-2.8689999999999998,-2.7042
TRN-0641,24.5801,94.9394,27.697,34.8704,17.3518,17.6709,21.5468,56.5225,Valid,-0.31909999999999883,-4.195,-3.8759000000000015
TRN-0478,22.1023,75.3986,39.5437,15.7804,15.0451,15.3171,18.7467,40.8439,Valid,-0.27200000000000024,-3.701600000000001,-3.4296000000000006
TRN-0026,23.3843,84.4197,26.1531,13.7255,16.0969,15.9865,19.9008,42.4546,Valid,0.11040000000000205,-3.8038999999999987,-3.914300000000001
TRN-0363,12.5154,100.0179,26.6011,17.9126,11.5718,13.6642,13.2085,54.963,Valid,-2.0923999999999996,-1.6367000000000012,0.45569999999999844
TRN-0430,20.7575,53.4003,34.8645,24.8433,12.9698,12.7579,16.7595,48.1514,Valid,0.21189999999999998,-3.7897,-4.0016
TRN-0936,10.8932,25.4503,34.2131,51.1712,7.0372,7.1364,9.181,62.3112,Valid,-0.09919999999999973,-2.143799999999999,-2.044599999999999
TRN-0129,21.1678,103.3248,40.2966,38.4533,16.1599,17.4796,19.4539,49.4543,Valid,-1.319700000000001,-3.2940000000000005,-1.9742999999999995
TRN-0688,20.0467,29.4538,26.8279,33.6621,11.6891,10.7337,15.4426,54.0091,Valid,0.9553999999999991,-3.7535000000000007,-4.7089
TRN-0157,22.4119,20.8205,26.7832,21.6598,11.8651,10.3674,15.741,52.7544,Valid,1.4977,-3.8758999999999997,-5.3736
TRN-0422,29.5699,19.6229,39.3521,44.9731,15.9528,13.5415,21.3873,41.892,Valid,2.4113000000000007,-5.4345,-7.8458000000000006
TRN-0561,21.2552,28.753,28.5431,55.9749,14.8131,15.3306,16.1621,58.7379,Invalid,-0.5175000000000001,-1.3489999999999984,-0.8314999999999984
TRN-0281,20.3633,63.1516,37.9498,43.269,14.0488,13.9778,17.9825,33.7963,Valid,0.07099999999999973,-3.9337000000000018,-4.0047000000000015
TRN-0108,18.4548,83.0207,37.7378,7.6421,13.5164,7.7951,16.5216,45.0359,Invalid,5.721300000000001,-3.0051999999999985,-8.7265
TRN-0332,19.9914,90.3498,42.0529,54.2919,15.1578,16.3139,18.691,51.4997,Valid,-1.1561000000000003,-3.533199999999999,-2.3770999999999987
TRN-0185,13.0874,48.0294,42.0912,28.1127,9.6031,10.4584,12.469,52.8484,Invalid,-0.8552999999999997,-2.8659,-2.0106
TRN-0746,11.5123,78.7144,35.2434,11.023,9.9073,11.8385,11.9057,50.1068,Valid,-1.9312000000000005,-1.9984000000000002,-0.0671999999999997
TRN-0656,12.9859,56.5878,41.075,23.6554,9.7232,10.5824,12.1611,23.4386,Valid,-0.8591999999999995,-2.437899999999999,-1.5786999999999995
TRN-0270,18.3775,49.9777,28.7527,20.261,11.6306,11.4468,14.7626,43.6153,Valid,0.18379999999999974,-3.1320000000000014,-3.315800000000001
TRN-0462,9.376,27.3945,36.0394,38.8804,6.3963,7.0118,8.4734,42.8012,Valid,-0.6154999999999999,-2.0770999999999997,-1.4615999999999998
TRN-0245,12.2692,79.2162,37.8168,33.9754,10.6367,12.3656,12.7798,33.0432,Valid,-1.7289000000000012,-2.1431000000000004,-0.41419999999999924
TRN-0986,16.4933,30.86,41.2013,54.7611,10.5093,10.1223,13.7721,54.7129,Valid,0.38700000000000045,-3.2628000000000004,-3.649800000000001
TRN-0905,20.6906,44.6437,44.5003,38.915,12.5439,12.4742,16.1979,53.5546,Valid,0.06970000000000098,-3.654,-3.723700000000001
TRN-0355,12.6951,77.0043,34.7021,7.1159,10.4104,11.9463,12.3935,66.5491,Valid,-1.5359000000000016,-1.9831000000000003,-0.4471999999999987
TRN-0684,28.7954,59.5556,32.8725,33.6192,17.5358,16.2295,22.6425,49.5823,Valid,1.3062999999999967,-5.1067,-6.412999999999997
TRN-0433,14.1649,48.5547,35.8988,14.1726,9.8755,10.08,12.6932,52.2889,Valid,-0.20449999999999946,-2.8176999999999985,-2.613199999999999
TRN-0205,11.8979,97.544,25.2669,56.4937,11.918,13.5932,14.1341,49.7389,Valid,-1.6752000000000002,-2.216100000000001,-0.5409000000000006
TRN-0806,25.4865,99.3398,44.008,55.3353,18.2879,18.9374,22.9072,48.9598,Valid,-0.6494999999999997,-4.619299999999999,-3.9697999999999993
TRN-0177,8.8071,96.5473,34.9594,44.9813,10.2865,12.7489,11.7695,36.0828,Valid,-2.4624000000000006,-1.4830000000000005,0.9794
TRN-0744,28.2125,108.5078,19.6145,8.0209,19.8403,20.0427,24.2394,52.7439,Valid,-0.2024000000000008,-4.399100000000001,-4.1967
TRN-0295,28.491,65.9864,38.1329,46.6129,18.1348,17.2158,23.268,39.7368,Valid,0.9189999999999969,-5.133200000000002,-6.052199999999999
TRN-0948,27.7984,49.1388,26.1832,34.6076,16.6847,14.9078,21.5841,60.4037,Valid,1.7768999999999995,-4.8994,-6.6762999999999995
TRN-0844,21.372,93.2079,34.9139,44.387,15.903,16.6672,19.6773,49.3534,Valid,-0.7642000000000007,-3.7742999999999984,-3.0100999999999978
TRN-0035,21.0816,84.4086,44.5723,45.0304,15.2472,16.1899,18.847,46.072,Valid,-0.9427000000000021,-3.599800000000002,-2.6571
TRN-0971,10.7856,47.0839,39.4542,52.5867,8.5482,9.3426,10.8938,58.0583,Valid,-0.7943999999999996,-2.345600000000001,-1.5512000000000015
TRN-0455,25.6612,102.5107,36.9688,45.8239,18.5978,19.1275,22.9467,48.6426,Valid,-0.5297000000000018,-4.3489,-3.8191999999999986
TRN-0792,14.0843,67.8778,45.1334,50.613,11.2984,12.3105,14.1442,31.1149,Valid,-1.0120999999999984,-2.8457999999999988,-1.8337000000000003
TRN-0662,8.1213,69.3968,29.281,41.901,8.2046,10.0533,9.4808,46.976,Valid,-1.848700000000001,-1.2762000000000011,0.5724999999999998
TRN-0266,15.9753,99.6298,30.1634,13.0101,13.3042,14.9661,15.6586,44.586,Valid,-1.661900000000001,-2.3544,-0.692499999999999
TRN-0326,30.0836,84.8342,42.2461,45.3787,19.8302,19.4816,24.9872,63.2539,Valid,0.34860000000000113,-5.157,-5.505600000000001
TRN-0173,8.8793,48.0957,34.4588,23.3188,7.1496,8.3093,8.9484,47.6605,Valid,-1.1597,-1.798799999999999,-0.6390999999999991
TRN-0473,21.7807,79.7624,44.4431,34.0606,15.1516,16.0863,18.7589,49.0243,Valid,-0.9347000000000012,-3.6073000000000004,-2.672599999999999
TRN-0759,14.1698,79.0463,27.4585,28.9708,11.6621,12.8104,14.0205,55.029,Valid,-1.148299999999999,-2.3583999999999996,-1.2101000000000006
TRN-0090,25.4547,40.4219,23.6058,25.1758,14.7793,13.0121,19.0257,45.9565,Valid,1.767199999999999,-4.246400000000001,-6.0136
TRN-0346,13.4272,55.4707,35.9373,17.5331,9.7561,10.4939,12.1206,55.9888,Invalid,-0.7378,-2.3644999999999996,-1.6266999999999996
TRN-0250,19.19,70.3763,45.3644,54.5215,13.7609,14.6353,17.4645,53.9176,Valid,-0.8744000000000014,-3.7036000000000016,-2.8292
TRN-0585,19.7951,57.3239,36.9512,42.1921,13.0019,13.2516,16.721,24.2143,Valid,-0.2497000000000007,-3.719100000000001,-3.4694000000000003
TRN-0057,30.1846,57.0555,30.0486,29.5513,18.1997,16.6974,23.4507,84.119,Valid,1.5023000000000017,-5.251000000000001,-6.753300000000003
TRN-0187,31.0442,84.7434,25.919,22.4294,19.9745,19.1135,25.0038,51.3905,Valid,0.8610000000000007,-5.029299999999999,-5.8903
TRN-0557,15.5447,29.2815,39.9119,30.1967,0.1218,9.5419,12.5008,57.9382,Invalid,-9.4201,-12.379,-2.9589
TRN-0098,21.2152,65.8614,33.6448,35.9575,14.2849,14.3922,18.1252,58.3774,Valid,-0.1073000000000004,-3.840299999999999,-3.7329999999999988
TRN-0734,30.9058,62.5443,43.9515,46.107,18.7959,17.6931,16.8485,56.4007,Invalid,1.1027999999999984,1.9473999999999982,0.8445999999999998
TRN-0718,11.7229,106.4226,33.7749,44.7718,11.9335,13.57855,13.9352,52.3137,Invalid,-1.6450499999999995,-2.0016999999999996,-0.35665000000000013
TRN-0389,14.6259,73.7701,26.7014,45.617,11.3153,12.2835,13.6233,67.4187,Valid,-0.9681999999999995,-2.308,-1.3398000000000003
TRN-0680,20.7467,66.0727,27.8669,12.5571,13.8576,13.7229,16.9478,56.1486,Valid,0.13470000000000049,-3.090200000000001,-3.2249000000000017
TRN-0709,29.2852,102.7158,48.2417,54.5325,20.3658,20.6792,25.271,68.8564,Valid,-0.31340000000000146,-4.905200000000001,-4.591799999999999
TRN-0406,25.1233,40.9434,43.4653,22.5027,22.7285,13.9656,19.5208,49.8444,Invalid,8.7629,3.207699999999999,-5.555200000000001
TRN-0496,13.5539,39.9312,20.6458,47.9961,8.8443,8.5335,10.9148,48.4001,Valid,0.3108000000000004,-2.070499999999999,-2.3812999999999995
TRN-0500,18.4778,63.4249,40.0174,37.7434,12.4168,13.2615,15.4617,34.8244,Valid,-0.8446999999999996,-3.0449,-2.2002000000000006
TRN-0238,24.5424,90.2796,44.3099,53.5612,17.2203,17.7766,21.3428,43.8869,Valid,-0.5562999999999967,-4.122499999999999,-3.566200000000002
TRN-0494,16.9402,91.4089,28.7547,32.746,13.7494,14.6965,16.65,55.3822,Valid,-0.9471000000000007,-2.900599999999999,-1.9534999999999982
TRN-0597,11.0549,38.0733,34.939,28.6861,7.5375,8.2343,9.2702,52.9228,Valid,-0.6967999999999996,-1.7327000000000012,-1.0359000000000016
TRN-0749,16.9551,49.3238,37.9182,46.079,11.5897,11.7664,14.8056,46.527,Valid,-0.1767000000000003,-3.2158999999999995,-3.0391999999999992
TRN-0973,28.9136,58.5679,27.1528,37.1643,17.6326,16.1946,22.4584,51.0747,Valid,1.4379999999999988,-4.825800000000001,-6.2638
TRN-0995,14.8736,90.321,43.7769,6.3052,12.5782,14.5,15.1172,49.4543,Valid,-1.9217999999999993,-2.5389999999999997,-0.6172000000000004
TRN-0420,16.7887,100.0701,39.1768,10.3787,13.9253,15.7353,16.7186,56.4779,Valid,-1.8100000000000005,-2.7932999999999986,-0.9832999999999981
TRN-0621,20.8151,108.1273,37.7482,18.9016,16.2126,17.5534,19.6291,65.7172,Valid,-1.3408000000000015,-3.4165000000000028,-2.075700000000001
