Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0328,25.23983539025213,Valid
TST-0290,49.377801329717286,Invalid
TST-0337,16.381555395453685,Valid
TST-0171,24.2098915754779,Valid
TST-0057,30.219974298826475,Valid
TST-0284,19.347011960884373,Valid
TST-0063,24.438812478669625,Invalid
TST-0022,21.807346136009397,Valid
TST-0044,18.05093812278647,Valid
TST-0035,23.739498994750825,Valid
TST-0258,45.66321084172191,Invalid
TST-0334,26.76527552133954,Valid
TST-0018,27.10800683732697,Valid
TST-0321,21.179395396385832,Valid
TST-0282,14.59705661745856,Valid
TST-0142,46.4848304535861,Invalid
TST-0312,24.029958215037272,Valid
TST-0101,22.331549889879533,Valid
TST-0134,16.33549650117171,Invalid
TST-0287,33.77359184580517,Valid
TST-0153,33.025324408542886,Valid
TST-0299,29.504836792718425,Valid
TST-0204,23.359456343060643,Valid
TST-0090,19.96633050153993,Valid
TST-0186,33.21641662854133,Valid
TST-0209,45.47610588980397,Valid
TST-0130,22.575961928025105,Valid
TST-0224,22.36285758267074,Valid
TST-0302,24.811402028628564,Valid
TST-0118,15.329833442036247,Valid
TST-0292,20.07205630888194,Valid
TST-0345,22.45819593039879,Valid
TST-0108,27.526771840404866,Valid
TST-0071,15.610704233200552,Valid
TST-0053,16.27487827517527,Valid
TST-0273,16.874352277058637,Valid
TST-0300,15.216807118602617,Valid
TST-0148,20.004395447892943,Valid
TST-0347,40.048647135224904,Valid
TST-0146,28.625227624756803,Valid
TST-0241,18.236244993514273,Valid
TST-0096,17.34104014723369,Valid
TST-0220,22.568113346267843,Valid
TST-0174,22.860643283016454,Valid
TST-0246,15.108618598311741,Valid
TST-0136,18.33499579979831,Valid
TST-0109,22.26572051123168,Valid
TST-0040,37.638778122901414,Valid
TST-0043,21.165484190469478,Invalid
TST-0181,37.261013705618524,Valid
TST-0268,17.892683140371464,Valid
TST-0253,16.057057191997618,Valid
TST-0017,25.76201240369358,Valid
TST-0201,23.0828279368558,Valid
TST-0129,16.951449564984138,Valid
TST-0068,46.74303738241912,Valid
TST-0161,14.995803884699697,Valid
TST-0298,20.282025618337038,Invalid
TST-0094,43.81992359458462,Valid
TST-0336,26.677903061998858,Invalid
TST-0149,20.545595033231763,Valid
TST-0191,48.414162750105405,Valid
TST-0032,18.708634633900967,Valid
TST-0054,16.556876618090413,Valid
TST-0349,55.4128630599795,Valid
TST-0100,17.703382158088594,Valid
TST-0162,19.89849419212848,Valid
TST-0326,22.893750201376296,Invalid
TST-0340,19.84667578152741,Valid
TST-0319,28.295189063334664,Valid
TST-0064,18.13273730618913,Valid
TST-0259,28.312738818982584,Valid
TST-0066,43.63110848379211,Valid
TST-0123,47.85363996996758,Valid
TST-0218,21.12118251472301,Valid
TST-0261,23.493739391269816,Valid
TST-0196,21.126141101779385,Valid
TST-0281,24.49223445111442,Invalid
TST-0303,36.67973708083962,Valid
TST-0254,22.26746791585263,Valid
TST-0322,18.539921857054807,Valid
TST-0139,17.790845732948696,Valid
TST-0257,37.598079753677034,Valid
TST-0033,16.23047683710075,Valid
TST-0112,50.69059607144626,Valid
TST-0021,24.598657160495804,Valid
TST-0083,18.170687677372506,Valid
TST-0150,25.729767476727808,Valid
TST-0265,23.585987993489308,Valid
TST-0227,34.20214380021514,Valid
TST-0170,24.812269857288054,Valid
TST-0318,30.96479373892442,Valid
TST-0097,16.75293830667968,Valid
TST-0152,33.50965408193954,Valid
TST-0084,58.031289876750805,Valid
TST-0124,16.07350837854448,Valid
TST-0098,33.4535591335807,Valid
TST-0341,29.011951172010797,Valid
TST-0042,31.37865265573679,Valid
TST-0189,19.20465451352385,Valid
TST-0285,22.810358688001664,Valid
TST-0020,22.140596860727584,Valid
TST-0314,44.00704086269059,Valid
